restaurant_key,restaurant_name,logo_path,banner_path,menu_image_count,location
koththu_hut,Koththu hut,images/koththu_hut/koththu_hut_logo.jpg,images/koththu_hut/koththu_hut_banner.jpg,4,mle
73,73,images/73/73_logo.jpeg,images/73/73_logo.jpeg,4,hml
ny_steak_shack,New York Steak Shack,images/ny_steak_shack/ny_steak_shack_logo.jpeg,images/ny_steak_shack/ny_steak_shack_banner.jpeg,8,hml
hotwok,hotwok,images/hotwok/hotwok_logo.jpeg,images/hotwok/hotwok_logo.jpeg,2,hml
the_red_snapper,The Red Snapper & Coffee Beans,images/the_red_snapper/the_red_snapper_logo.png,images/the_red_snapper/the_red_snapper_logo.png,8,hml
coffee_residence,coffee residence,images/coffee_residence/cofee_residence_logo.jpg,images/coffee_residence/cofee_residence_logo.jpg,1,hml
gloria_jeans_beach,gloria jeans beach,images/gloria_jeans_beach/gloria_jeans_logo.jpg,images/gloria_jeans_beach/gloria_jeans_logo.jpg,8,hml
gloria_jeans_amin,gloria jeans amin avenu,images/gloria_jeans_amin/gloria_jeans_logo.jpg,images/gloria_jeans_amin/gloria_jeans_logo.jpg,8,hml
mezze_cafe,mezze cafe,images/mezze_cafe/mezze_cafe_logo.jpeg,images/mezze_cafe/mezze_cafe_logo.jpeg,4,hml
breadmattersmv,bread matters,images/breadmattersmv/breadmattersmv_logo.jpg,images/breadmattersmv/breadmattersmv_logo.jpg,5,hml
tidescafemv,tides cafe,images/tidescafemv/tidescafemv_logo.jpg,images/tidescafemv/tidescafemv_logo.jpg,8,mle
singleo,singleo,images/singleo/singleo_logo.jpg,images/singleo/singleo_logo.jpg,4,hml
sauced_up,sauced up,images/sauced_up/sauced_up_logo.jpg,images/sauced_up/sauced_up_logo.jpg,5,mle
banana_leaf,banana leaf,images/banana_leaf/banana_leaf_logo.jpg,images/banana_leaf/banana_leaf_logo.jpg,2,hml
the_deck,The Deck,images/the_deck/the_deck_logo.jpg,images/the_deck/the_deck_logo.jpg,4,mle
thewatersidemv,the waterside,images/thewatersidemv/thewatersidemv_logo.jpg,images/thewatersidemv/thewatersidemv_logo.jpg,1,hml
valhomascafe,valhomas cafe,images/valhomascafe/valhomascafe_logo.jpg,images/valhomascafe/valhomascafe_logo.jpg,1,hml
themaldivekitchen,themaldivekitchen,images/themaldivekitchen/themaldivekitchen_logo.jpg,images/themaldivekitchen/themaldivekitchen_logo.jpg,4,hml